number,text
footnote 274,"Aurelius Victor. Jornandes de Rebus Geticis, c. 21."
footnote 275,"Aurelius Victor ſays, ""Per Armeniam in hoſtes contendit, que ferme ſola, ſeu facilior vincendi via eſt."" He followed the conduct of Trajan, and the idea of Julius Caeſar."
footnote 276,"Xenophon's Anabaſis, l. iii. For that reaſon the Perſian cavalry encamped ſixty ſtadia from the enemy."
footnote 277,"The ſtory is told by Ammianus, l. xxii. Inſtead ofſaccumſome readſcutum."
footnote 278,The Perſians confeſſed the Roman ſuperiority in morals as well as in arms. Eutrop. ix. 24. But this reſpect and gratitude of enemies is very ſeldom to be found in their own accounts.
footnote 279,"The account of the negociation is taken from the fragments of Peter the Patrician, in the Excerpta Legationum publiſhed in the Byzantine Collection. Peter lived under Juſtinian; but it is very evident, by the nature of his materials, that they are drawn from the moſt authentic and reſpectable writers."
footnote 280,"Adeo Victor (ſays Aurelius) ut ni Valerius, cujus nutu omnia gerebantur, abnuiſſet, Romani faſces in provinciam novam ferrentur. Verum pars terrarum tamen nobis utilior quaeſita."
footnote 281,"He had been governor of Sumium (Pet. Patricius in Excerpt. Legat. p. 30.). This province ſeems to be mentioned by Moſes of Chorene (Geograph. p. 360.), and lay to the Eaſt of Mount Ararat."
footnote 282,"By an error of the geographer Ptolemy, the poſition of Singara is removed from the Aboras to the Tigris, which may have produced the miſtake of Peter, in aſſigning the latter river for the boundary, inſtead of the former. The line of the Roman frontier traverſed, but never followed, the courſe of the Tigris."
footnote 283,"Procopius de Edificiis, l. ii. c. 6."
footnote 284,"Three of the provinces, Zabdicene, Arzanene, and Carduene, are allowed on all ſides. But inſtead of the other two, Peter (in Excerpt. Leg. p. 30.) inſerts Rehimene and Sophene. I have preferred Ammianus (l. xxv. 7.), becauſe it might be proved, that Sophene was never in the hands of the Perſians, either before the reign of Diocletian, or after that of Jovian. For want of correct maps, like thoſe of M. d'Anville, almoſt all the moderns, with Tillemont and Valeſius at their head, have imagined, that it was in reſpect to Perſia, and not to Rome, that the five provinces were ſituate beyond the Tigris."
footnote 285,"Xenophon's Anabaſis, l. iv. Their bows were three cubits in length, their arrows two; they rolled down ſtones that were each a waggon load. The Greeks found a great many villages in that rude country."
footnote 286,"According to Eutropius (vi. 9. as the text is repreſented by the beſt MSS.), the city of Tigranocerta was in Arzanene. The names and ſituation of the other three may be faintly traced."
footnote 287,"Compare Herodotus, l. i. c. 97. with Moſes Choronenſ. Hiſt. Armen. l. ii. c. 84. and the map of Armenia given by his editors."
footnote 288,"Hiberi, locorum potentes, Caſpia viâ Sarmatam in Armenios raptim effundunt. Tacit. Annal. vi. 34. See Strabon. Geograph. l. xi. p. 764."
footnote 289,Peter Patricius (in Excerpt. Leg. p. 30.) is the only writer who mentions the Iberian article of the treaty.
footnote 290,"Euſeb. in Chron. Pagi ad annum. Till the diſcovery of the treatiſe De Mortibus Perſecutorum, it was not certain that the triumph and the Vincenalia were celebrated at the ſame time."
footnote 291,"At the time of the Vincenalia, Galerius ſeems to have kept his ſtation on the Danube. See Lactant. de M. P. c. 38."
footnote 292,"Eutropius (ix. 27.) mentions them as a part of the triumph. As theperſonshad been reſtored to Narſes, nothing more than theirimagescould be exhibited."
footnote 293,"Livy gives us a ſpeech of Camillus on that ſubject (v. 51—55.), full of eloquence and ſenſibility, in oppoſition to a deſign of removing the ſeat of government from Rome to the neighbouring city of Veii."
footnote 294,"Julius Caeſar was reproached with the intention of removing the empire to Ilium or Alexandria. See Sueton. in Caeſar. c. 79. According to the ingenious conjecture of Le Fevre and Dacier, the third ode of the third book of Horace was intended to divert Auguſtus from the execution of a ſimilar deſign."
footnote 295,"See Aurelius Victor, who likewiſe mentions the buildings erected by Maximian at Carthage, probably during the Mooriſh war. We ſhall inſert ſome verſes of Auſonius de Clar. Urb. v.Et Mediolani mira omnia: copia rerum;Innumerae cultaeque domus; facunda virorumIngenia, et mores laeti, tum duplice muroAmplificata loci ſpecies; populique voluptasCircus; et incluſi moles cuneata TheatriTempla, Palatinaeque arces, opulenſque Moneta,Et regioHerculeicelebris ſub honore lavacri.Cunctaque marmoreis ornata Peryſtyla ſignis;Moeniaque in valli formam circumdata labro,Omnia quae magnis operum velut aemula formisExcellunt: nec junctae premit vicinia Romae."
footnote 296,"Lactant. de M. P. c. 17. Libanius, Orat. viii. p. 203."
footnote 297,"Lactant. de M. P. c. 17. On a ſimilar occaſion Ammianus mentions thedicacitas plebis,as not very agreeable to an Imperial ear. (See l. xvi. c. 10.)"
footnote 298,Lactantius accuſes Maximian of deſtroying fictis criminationibus lumina ſenatûs (De M. P. c. 8.). Aurelius Victor ſpeaks very doubtfully of the faith of Diocletian towards his friends.
footnote 299,"Truncatae vires urbis, imminuto praetoriarum cohortium atque in armis vulgi numero. Aurelius Victor. Lactantius attributes to Galerius the proſecution of the ſame plan (c. 26.)."
footnote 300,"They were old corps ſtationed in Illyricum; and according to the ancient eſtabliſhment, they each conſiſted of ſix thouſand men. They had acquired much reputation by the uſe of theplumbatae,or darts loaded with lead. Each ſoldier carried five of theſe, which he darted from a conſiderable diſtance, with great ſtrength and dexterity. See Vegetius, i. 17."
footnote 301,"See the Theodoſian Code, l. vi. tit. ii. with Godefroy's commentary."
footnote 302,"See the 12th diſſertation in Spanheim's excellent work de Uſu Numiſmatum. From medals, inſcriptions, and hiſtorians, he examines every title ſeparately, and traces it from Auguſtus to the moment of its diſappearing."
footnote 303,"Pliny (in Panegyr. c. 3. 55, &c.) ſpeaks ofDominuswith execration, as ſynonymous to Tyrant, and oppoſite to Prince. And the ſame Pliny regularly gives that title (in the tenth book of the epiſtles) to his friend rather than maſter, the virtuous Trajan. This ſtrange contradiction puzzles the commentators, who think, and the tranſlators, who can write."
footnote 304,"Syneſius de Regno, Edit. Petav. p. 15. I am indebted for this quotation to the Abbé de la Bleterie."
footnote 305,"See Vendale de Conſecratione, p. 354, &c. It was cuſtomary for the emperors to mention (in the preamble of laws) theirnumen, ſacred majeſty, divine oracles, &c.According to Tillemont, Gregory of Nazianzen complains moſt bitterly of the profanation, eſpecially when it was practiſed by an Arian emperor."
footnote 306,See Spanheim de Uſu Numiſmat. Diſſertat. xii.
footnote 307,"Aurelius Victor. Eutropius ix. 26. It appears by the Panegyriſts, that the Romans were ſoon reconciled to the name and ceremony of adoration."
footnote 308,"The innovations introduced by Diocletian, are chiefly deduced, 1ſt, from ſome very ſtrong paſſages in Lactantius; and, 2dly, from the new and various offices, which, in the Theodoſian code, appearalreadyeſtabliſhed in the beginning of the reign of Conſtantine."
footnote 309,Lactant. de M. P. c. 7.
footnote 310,"Indicta lex nova quae ſane illorum temporum modeſtiâ tolerabilis, in perniciem proceſſit. Aurel. Victor, who has treated the character of Diocletian with good ſenſe, though in bad Latin."
footnote 311,"Solus omnium, poſt conditum Romanum Imperium, qui extanto faſtigio ſponte ad privatae vitae ſtatum civilitatemque remearet. Eutrop. ix. 28."
footnote 312,"The particulars of the journey and illneſs are taken from Lactantius (c. 17.), who mayſometimesbe admitted as an evidence of public facts, though very ſeldom of private anecdotes."
footnote 313,"Aurelius Victor aſcribes the abdication, which had been ſo variouſly accounted for, to two cauſes. 1ſt, Diocletian's contempt of ambition; and 2dly, His apprehenſion of impending troubles. One of the panegyriſts (vi. 9.) mentions the age and infirmities of Diocletian, as a very natural reaſon for his retirement."
footnote 314,"The difficulties as well as miſtakes attending the dates both of the year and of the day of Diocletian's abdication, are perfectly cleared up by Tillemont, Hiſt. des Empereurs, tom. iv. p. 525. Note 19, and by Pagi ad annum."
footnote 315,See Panegyr. Veter. vi. 9. The oration was pronounced after Maximian had reaſſumed the purple.
footnote 316,"Eumenius pays him a very fine compliment:At enim divinum illum virum, qui primus imperium et participavit et poſuit, conſilii et facti ſui non poenitet; nec amiſiſſe ſe putat quod ſponte tranſcripſit. Felix beatuſque vere quem veſtra, tantorum principum, colunt obſequia privatum.Panegyr. Vet. vii. 15."
footnote 317,We are obliged to the younger Victor for this celebrated bon môt. Eutropius mentions the thing in a more general manner.
footnote 318,"Hiſt. Auguſt. p. 223, 224. Vopiſcus had learned this converſation from his father."
footnote 319,"The younger Victor ſlightly mentions the report. But as Diocletian had diſobliged a powerful and ſucceſsful party, his memory has been loaded with every crime and misfortune. It has been affirmed that he died raving mad, that he was condemned as a criminal by the Roman ſenate, &c."
footnote 320,See the Itiner. p. 269. 272. Edit. Weſſel.
footnote 321,"The Abate Fortis, in his Viaggio in Dalmazia, p. 43. (printed at Venice in the year 1774, in two ſmall volumes in quarto) quotes a MS. account of the antiquities of Salona, compoſed by Giambattiſta Giuſtiniani about the middle of the xvith century."
footnote 322,"Adam's antiquities of Diocletian's palace at Spalatro, p. 6. We may add a circumſtance or two from the Abate Fortis: the little ſtream of the Hyader, mentioned by Lucan, produces moſt exquiſite trout, which a ſagacious writer, perhaps a monk, ſuppoſes to have been one of the principal reaſons that determined Diocletian in the choice of his retirement. Fortis, p. 45. The ſame author (p. 38.) obſerves, that a taſte for agriculture is reviving at Spalatro; and that an experimental farm has lately been eſtabliſhed near the city, by a ſociety of Gentlemen."
footnote 323,"Conſtantin. Orat. ad Coetum Sanct. c. 25. In this ſermon, the emperor, or the biſhop who compoſed it for him, affects to relate the miſerable end of all the perſecutors of the church."
footnote 324,Conſtantin. Porphyr. de Statu Imper. p. 86.
footnote 325,"D'Anville, Geographie Ancienne, tom. i. p. 162."
footnote 326,"Meſſieurs Adam and Cleriſſeau, attended by two draughtſmen, viſited Spalatro in the month of July 1757. The magnificent work which their journey produced, was publiſhed in London ſeven years afterwards."
footnote 327,"I ſhall quote the words of the Abate Fortis.E'baſtevolmente nota agli amatori dell'Architettura, e dell'Antichità, l'opera del Signor ADAMS, che a donato molto a que' ſuperbi veſtigi coll'abituale eleganza del ſuo toccalapis e del bulino. In generale la rozzezza del ſcalpello, e'l cativo guſto del ſecolo vi gareggiano colla magnificenza del fabricato.See Viaggio in Dalmazia, p. 40."
footnote 328,"The orator Eumenius was ſecretary to the emperors Maximian and Conſtantius, and Profeſſor of Rhetoric in the college of Autun. His ſalary was ſix hundred thouſand ſeſterces, which, according to the loweſt computation of that age, muſt have exceeded three thouſand pounds a year. He generouſly requeſted the permiſſion of employing it in rebuilding the college. See his Oration De reſtaurandis ſcholis; which, though not exempt from vanity, may atone for his panegyrics."
footnote 329,"Porphyry died about the time of Diocletian's abdication. The life of his maſter Plotinus, which he compoſed, will give us the moſt complete idea of the genius of the ſect, and the manners of its profeſſors. This very curious piece is inſerted in Fabricius, Bibliotheca Graeca, tom. iv. p. 88-148."
footnote 330,"M. de Monteſquieu (Conſiderations ſur la Grandeur et la Decadence des Romains, c. 17.) ſuppoſes, on the authority of Oroſius and Euſebius, that, on this occaſion, the empire, for the firſt time, wasreallydivided into two parts. It is difficult, however, to diſcover in what reſpect the plan of Galerius differed from that of Diocletian."
footnote 331,"Hic non modo amabilis, ſed etiam venerabilis Gallis ſuit; praecipue quòd Diocletiani ſuſpectam prudentiam, et Maximiani ſanguinariam violentiam imperio ejus evaſerant. Eutrop. Breviar. x. 1."
footnote 332,"Divitiis Provincialium (mel.provinciarum)ac privatorum ſtudens, fiſci commoda non admodum affectans; ducenſque melius publicas opes a privatis haberi, quam intra unum clauſtrum reſervari. Id. ibid. He carried this maxim ſo far, that whenever he gave an entertainment, he was obliged to borrow a ſervice of plate."
footnote 333,"Lactantius de Mort. Perſecutor. c. 18. Were the particulars of this conference more conſiſtent with truth and decency, we might ſtill aſk, how they came to the knowledge of an obſcure rhetorician? But there are many hiſtorians who put us in mind of the admirable ſaying of the great Condè to cardinal de Retz;Ces coquins nous font parler et agir, comme ils auroient fait eux-memes à notre place."
footnote 334,"Sublatus nuper a pecoribus et ſilvis (ſays Lactantius de M. P. c. 19.) ſtatim Scutarius, continuo Protector, mox Tribunus, poſtridie Caeſar, accepit Orientem. Aurelius Victor is too liberal in giving him the whole portion of Diocletian."
footnote 335,"His diligence and fidelity are acknowledged even by Lactantius, de M. P. c. 18."
footnote 336,"Theſe ſchemes, however, reſt only on the very doubtful authority of Lactantius, de M. P. c. 20."
footnote 337,"This tradition, unknown to the contemporaries of Conſtantine, was invented in the darkneſs of monaſteries, was embelliſhed by Jeffrey of Monmouth, and the writers of the xiith century, has been defended by our antiquarians of the laſt age, and is ſeriouſly related in the ponderous hiſtory of England, compiled by Mr. Carte (vol. i. p. 147.). He tranſports, however, the kingdom of Coil, the imaginary father of Helena, from Eſſex to the wall of Antoninus."
footnote 338,"Eutropius (x. 2.) expreſſes, in a few words, the real truth, and the occaſion of the error, ""ex obſcuriori matrimonio ejus filius."" Zoſimus (l. ii. p. 78.) eagerly ſeized the moſt unfavourable report, and is followed by Oroſius (vii. 25.), whoſe authority is oddly enough overlooked by the indefatigable but partial Tillemont. By inſiſting on the divorce of Helena, Diocletian acknowledged her marriage."
footnote 339,"There are three opinions with regard to the place of Conſtantine's birth. 1. Our Engliſh antiquarians were uſed to dwell with rapture on the words of his panegyriſt;Britannias illic oriendo nobiles feciſti.But this celebrated paſſage may be referred with as much propriety to the acceſſion as to the nativity of Conſtantine. 2. Some of the modern Greeks have aſcribed the honour of his birth to Drepanum, a town on the gulph of Nicomedia (Cellarius, tom. ii. p. 174.), which Conſtantine dignified with the name of Helenopolis, and Juſtinian adorned with many ſplendid buildings (Procop. de Aedificiis, v. 2.). It is indeed probable enough, that Helena's father kept an inn at Drepanum; and that Conſtantius might lodge there when he returned from a Perſian embaſſy in the reign of Aurelian. But in the wandering life of a ſoldier, the place of his marriage, and the places where his children are born, have very little connection with each other. 3. The claim of Naiſſus is ſupported by the anonymous writer, publiſhed at the end of Ammianus, p. 710, and who in general copied very good materials; and it is confirmed by Julius Firmicius (de Aſtrologiâ, l. i. c. 4.), who flouriſhed under the reign of Conſtantine himſelf. Some objections have been raiſed againſt the integrity of the text, and the application of the paſſage of Firmicius; but the former is eſtabliſhed by the beſt MSS. and the latter is very ably defended by Lipſius de Magnitudine Romana, l. iv. c. 11. et Supplement."
footnote 340,Literis minus inſtructus. Anonym. ad Ammian. p. 710.
footnote 341,"Galerius, or perhaps his own courage, expoſed him to ſingle combat with a Sarmatian (Anonym. p. 710.) and with a monſtrous lion. See Praxagoras apud Phocium, p. 63. Praxagoras, an Athenian philoſopher, had written a life of Conſtantine, in two books, which are now loſt. He was a contemporary."
footnote 342,"Zoſimus, l. ii. p 78, 79. Lactantius de M. P. c. 24. The former tells a very fooliſh ſtory, that Conſtantine cauſed all the poſthorſes, which he had uſed, to be hamſtrung. Such a bloody execution, without preventing a purſuit, would have ſcattered ſuſpicions, and might have ſtopped his journey."
footnote 343,"Anonym. p. 710. Panegyr. Veter. vii. 4. But Zoſimus, l. ii. p. 79. Euſebius de Vit. Conſtant. l. i. c. 21. and Lactantius de M. P. c. 24. ſuppoſe, with leſs accuracy, that he found his father on his death-bed."
footnote 344,"Cunctis qui aderant annitentibus, ſed praecipue Croco(alii Eroco)Alamannorum Rege, auxilii gratiâ Conſtantium comitato, imperium capit. Victor Junior, c. 41. This is perhaps the firſt inſtance of a barbarian king, who aſſiſted the Roman arms with an independent body of his own ſubjects. The practice grew familiar, and at laſt became fatal."
footnote 345,"His panegyriſt Eumenius (vii. 8.) ventures to affirm, in the preſence of Conſtantine, that he put ſpurs to his horſe, and tried, but in vain, to eſcape from the hands of his ſoldiers."
footnote 346,Lactantius de M. P. c. 25. Eumenius (vii. 8.) gives a rhetorical turn to the whole tranſaction.
footnote 347,"The choice of Conſtantine, by his dying father, which is warranted by reaſon, and inſinuated by Eumenius, ſeems to be confirmed by the moſt unexceptionable authority, the concurring evidence of Lactantius (de M. P. c. 24.) and of Libanius (Oration i.); of Euſebius (in Vit. Conſtantin. l. i. c. 18. 21.) and of Julian (Oration i.)."
footnote 348,"Of the three ſiſters of Conſtantine, Conſtantia married the emperor Licinius, Anaſtaſia the Caeſar Baſſianus, and Eutropia the conſul Nepotianus. The three brothers were, Dalmatius, Julius Conſtantius, and Annibalianus, of whom we ſhall have occaſion to ſpeak hereafter."
footnote 349,"See Gruter Inſcrip. p. 178. The ſix princes are all mentioned, Diocletian and Maximian as the ſenior Auguſti and fathers of the emperors. They jointly dedicate, for the uſe oftheir ownRomans, this magnificent edifice. The architects have delineated the ruins of theſeThermae;and the antiquarians, particularly Donatus and Nardini, have aſcertained the ground which they covered. One of the great rooms is now the Carthuſian church; and even one of the porter's lodges is ſufficient to form another church, which belongs to the Feuillans."
footnote 350,See Lactantius de M. P. c. 26. 31.
footnote 351,"The vith Panegyric repreſents the conduct of Maximian in the moſt favourable light; and the ambiguous expreſſion of Aurelius Victor, ""retractante diu,"" may ſignify, either that he contrived, or that he oppoſed, the conſpiracy. See Zoſimus, l. ii. p. 79. and Lactantius de M. P. c. 26."
footnote 352,"The circumſtances of this war, and the death of Severus, are very doubtfully and variouſly told in our ancient fragments (ſee Tillemont, Hiſt. des Empereurs, tom. iv. part i. p. 555.). I have endeavoured to extract from them a conſiſtent and probable narration."
footnote 353,"The vith Panegyric was pronounced to celebrate the elevation of Conſtantine; but the prudent orator avoids the mention either of Galerius or of Maxentius. He introduces only one ſlight alluſion to the actual troubles, and to the majeſty of Rome."
footnote 354,"With regard to this negociation, ſee the fragments of an anonymous Hiſtorian, publiſhed by Valeſius at the end of his edition of Ammianus Marcellinus, p. 711. Theſe fragments have furniſhed us with ſeveral curious, and as it ſhould ſeem authentic, anecdotes."
footnote 355,"Lactantius de M. P. c. 28. The former of theſe reaſons is probably taken from Virgil's Shepherd;Illam ego huic noſtrae ſimilem Meliboee putavi, &c.Lactantius delights in theſe poetical alluſions."
footnote 356,"Caſtra ſuper Tuſci ſi ponere Tybridis undas;(jubeas)Heſperios audax veniam metator in agros.Tu quoſcunque voſes in planum effundere muros,His aries actus diſperget ſaxa lacertis;Illa licet penitus tolli quam juſſeris urbem Roma ſit.Lucan. Pharſal. i. 381."
footnote 357,"Lactantius de M. P. c. 27. Zoſim. l. ii. p. 82. The latter inſinuates, that Conſtantine, in his interview with Maximian, had promiſed to declare war againſt Galerius."
footnote 358,"M. de Tillemont (Hiſt. des Empereurs, tom. iv. part i. p. 559.) has proved, that Licinius, without paſſing through the intermediate rank of Caeſar, was declared Auguſtus, the 11th of November, A. D. 307, after the return of Galerius from Italy."
footnote 359,"Lactantius de M. P. c. 32. When Galerius declared Licicinius Auguſtus with himſelf, he tried to ſatisfy his younger aſſociates, by inventing, for Conſtantine andMaximin(notMaxentius,ſee Baluze, p. 81.) the new title of ſons of the Auguſti. But when Maximin acquainted him that he had been ſaluted Auguſtus by the army, Galerius was obliged to acknowledge him, as well as Conſtantine, as equal aſſociates in the Imperial dignity."
footnote 360,"See Panegyr. Vet. vi. 9. Audi doloris noſtri liberam vocem, &c. The whole paſſage is imagined with artful flattery, and expreſſed with an eaſy flow of eloquence."
footnote 361,"Lactantius de M. P. c. 28. Zoſim. l. ii. p. 82. A report was ſpread, that Maxentius was the ſon of ſome obſcure Syrian, and had been ſubſtituted by the wife of Maximian as her own child. See Aurelius Victor, Anonym. Valeſian. and Panegyr. Vet. ix. 3, 4."
footnote 362,"Ab urbe pulſum, ab Italia fugatum, ab Illyrico repudiatum, tuis provinciis, tuis copiis, tuo palatio recepiſti. Eumen. in Panegyr. Vet. vii. 14."
footnote 363,"Lactantius de M. P. c. 29. Yet after the reſignation of the purple, Conſtantine ſtill continued to Maximian the pomp and honours of the Imperial dignity; and on all public occaſions gave the right-hand place to his father-in-law. Panegyr. Vet. vii. 15."
footnote 364,"Zoſim. l. ii. p. 82. Eumenius in Panegyr. Vet. vii. 16—21. The latter of theſe has undoubtedly repreſented the whole affair in the moſt favourable light for his ſovereign. Yet even from this partial narrative we may conclude, that the repeated clemency of Conſtantine, and the reiterated treaſons of Maximian, as they are deſcribed by Lactantius (de M. P. c. 29, 30.), and copied by the moderns, are deſtitute of any hiſtorical foundation."
footnote 365,"Aurelius Victor, c. 40. But that lake was ſituated on the Upper Pannonia, near the borders of Noricum; and the province of Valeria (a name which the wife of Galerius gave to the drained country) undoubtedly lay between the Drave and the Danube (Sextus Rufus, c. 9.) I ſhould therefore ſuſpect that Victor has confounded the lake Pelſo with the Volocean marches, or, as they are now called, the lake Sabaton. It is placed in the heart of Valeria, and its preſent extent is not leſs than 12 Hungarian miles (about 70 Engliſh) in length, and two in breadth. See Severini Pannonia, l. i. c. 9."
footnote 366,Lactantius (de M. P. c. 33.) and Euſebius (l. viii. c. 16.) deſcribe the ſymptoms and progreſs of his diſorder with ſingular accuracy and apparent pleaſure.
footnote 367,"If any (like the late Dr. Jortin, Remarks on Eccleſiaſtical Hiſtory, vol. ii. p. 307—356.) ſtill delight in recording the wonderful deaths of the perſecutors, I would recommend to their peruſal an admirable paſſage of Grotius (Hiſt. l. vii. p. 332.) concerning the laſt illneſs of Philip II. of Spain."
footnote 368,"See Euſebius, l. ix. 6. 10. Lactantius de M. P. c. 36. Zoſimus is leſs exact, and evidently confounds Maximian with Maximin."
footnote 369,"See the viiith Panegyr. in which Eumenius diſplays, in the preſence of Conſtantine, the miſery and the gratitude of the city of Autun."
footnote 370,"Eutropius, x. 3. Panegyr. Veter. vii. 10, 11, 12. A great number of the French youth were likewiſe expoſed to the ſame cruel and ignominious death."
footnote 371,Julian excludes Maxentius from the banquet of the Caeſars with abhorrence and contempt; and Zoſimus (l. ii. p. 85.) accuſes him of every kind of cruelty and profligacy.
footnote 372,"Zoſimus, l. ii. p. 83—85. Aurelius Victor."
footnote 373,"The paſſage of Aurelius Victor ſhould be read in the following manner. Primus inſtituto peſſimo,munerumſpecie, PatresOrator eſquepecuniam conferre prodigenti ſibi cogeret."
footnote 374,"Panegyr. Vet. ix. 3. Euſeb. Hiſt. Eccleſ. viii. 14. et in Vit. Conſtant. i. 33, 34. Ruſinus, c. 17. The virtuous matron, who ſtabbed herſelf to eſcape the violence of Maxentius, was a Chriſtian, wife to the praefect of the city, and her name was Sophronia. It ſtill remains a queſtion among the caſuiſts, whether, on ſuch occaſions, ſuicide is juſtifiable."
footnote 375,"Praetorianis caedem vulgi quondam annucret, is the vague expreſſion of Aurelius Victor. See more particular, though ſomewhat different, accounts of a tumult and maſſacre, which happened at Rome, in Euſebius (l. viii. c. 14.) and in Zoſimus (l. ii. p. 84.)."
footnote 376,"See in the Panegyrics (ix. 14.), a lively deſcription of the indolence and vain pride of Maxentius. In another place, the orator obſerves, that the riches which Rome had accumulated in a period of 1060 years, were laviſhed by the tyrant on his mercenary bands; redemptis ad civile latrocinium manibus ingeſſerat."
footnote 377,"After the victory of Conſtantine, it was univerſally allowed, that the motive of delivering the republic from a deteſted tyrant, would, at any time, have juſtified his expedition into Italy. Euſeb. in Vit. Conſtantin. l. i. c. 26. Panegyr. Vet. ix. 2."
footnote 378,"Zoſimus, l. ii. p. 84, 85. Nazarius in Panegyr. x. 7—13."
footnote 379,"See Panegyr. Vet. ix. 2. Omnibus fere tuis Comitibus et Ducibus non ſolum tacite muſſantibus, ſed etiam aperte timentibus; contra conſilia hominum, contra Haruſpicum monita, ipſe per temet liberandae urbis tempus veniſſe ſentires. The embaſſy of the Romans is mentioned only by Zonaras (l. xiii.) and by Cedrenus (in Compend. Hiſt. p. 270.): but thoſe modern Greeks had the opportunity of conſulting many writers which have ſince been loſt, among which we may reckon the life of Conſtantine by Praxagoras. Photius (p. 63.) has made a ſhort extract from that hiſtorical work."
footnote 380,"Zoſimus (l. ii. p. 86.) has given us this curious account of the forces on both ſides. He makes no mention of any naval armaments, though we are aſſured (Panegyr. Vet. ix. 25.) that the war was carried on by ſea as well as by land; and that the fleet of Conſtantine took poſſeſſion of Sardinia, Corſica, and the ports of Italy."
footnote 381,"Panegyr. Vet. ix. 3. It is not ſurpriſing that the orator ſhould diminiſh the numbers with which his ſovereign atchieved the conqueſt of Italy; but it appears ſomewhat ſingular, that he ſhould eſteem the tyrant's army at no more than 100,000 men."
footnote 382,"The three principal paſſages of the Alps between Gaul and Italy, are thoſe of Mount St. Bernard, Mount Cenis, and Mount Genevre. Tradition, and a reſemblance of names(Alpes Penninae),had aſſigned the firſt of theſe for the march of Hannibal (ſee Simler de Alpibus). The Chevalier de Folard (Polybe, tom. iv.) and M. d'Anville have led him over Mount Genevre. But notwithſtanding the authority of an experienced officer and a learned geographer, the pretenſions of Mount Cenis are ſupported in a ſpecious, not to ſay a convincing, manner by M. Groſley. Obſervations ſur l'Italie, tom. i. p. 40, &c."
footnote 383,"La Brunette near Suſe, Demont, Exiles, Feneſtrelles, Coni, &c."
footnote 384,"See Ammian. Marcellin. xv. 10. His deſcription of the roads over the Alps, is clear, lively, and accurate."
footnote 385,"Zoſimus as well as Euſebius haſten from the paſſage of the Alps, to the deciſive action near Rome. We muſt apply to the two Panegyrics, for the intermediate actions of Conſtantine."
footnote 386,"The Marquis Maffei has examined the ſiege and battle of Verona, with that degree of attention and accuracy, which was due to a memorable action that happened in his native country. The fortifications of that city, conſtructed by Gallienus, were leſs extenſive than the modern walls, and the Amphitheatre was not included within their circumference. See Verona Illuſtrata, Part i. p. 142. 150."
footnote 387,They wanted chains for ſo great a multitude of captives; and the whole council was at a loſs; but the ſagacious conqueror imagined the happy expedient of converting into fetters the ſwords of the vanquiſhed. Panegyr. Vet. ix. 11.
footnote 388,Panegyr. Vet. ix. 10.
footnote 389,Literas calamitatum ſuarum indices ſupprimebat. Panegyr. Vet. ix. 15.
footnote 390,"Remedia malorum potius quam mala differebat, is the fine cenſure which Tacitus paſſes on the ſupine indolence of Vitellius."
footnote 391,"The Marquis Maffei has made it extremely probable that Conſtantine was ſtill at Verona, the 1ſt of September, A. D. 312, and that the memorable aera of the indictions was dated from his conqueſt of the Ciſalpine Gaul."
footnote 392,See Panegyr. Vet. xi. 16. Lactantius de M. P. c. 44.
footnote 393,Illo die hoſtem Romanorum eſſe periturum. The vanquiſhed prince became of courſe the enemy of Rome.
footnote 394,"See Panegyr. Vet. ix. 16. x. 27. The former of theſe orators magnifies the hoards of corn, which Maxentius had collected from Africa and the Iſlands. And yet, if there is any truth in the ſcarcity mentioned by Euſebius (in Vit. Conſtantin. l. i. c. 36.), the Imperial granaries muſt have been open only to the ſoldiers."
footnote 395,"Maxentius . . . tandem urbe inSaxa Rubra,millia ferme novem aegerrime progreſſus. Aurelius Victor. See Cellarius Geograph. Antiq. tom. i. p. 463. Saxa Rubra was in the neighbourhood of the Cremera, a trifling rivulet, illuſtrated by the valour and glorious death of the three hundred Fabii."
footnote 396,"The poſt which Maxentius had taken, with the Tyber in his rear, is very clearly deſcribed by the two Panegyriſts, ix. 16. x. 28."
footnote 397,"Exceptis latrocinii illius primis auctoribus, qui deſperatâ veniâ, locum quem pugnae ſumpſerant texere corporibus. Panegyr. Vet. ix. 17."
footnote 398,"A very idle rumour ſoon prevailed, that Maxentius, who had not taken any precaution for his own retreat, had contrived a very artful ſnare to deſtroy the army of the purſuers; but that the wooden bridge which was to have been looſened on the approach of Conſtantine, unluckily broke down under the weight of the flying Italians. M. de Tillemont (Hiſt. des Empereurs, tom. iv. part i. p. 576.) very ſeriouſly examines whether, in contradiction to common ſenſe, the teſtimony of Euſebius and Zoſimus ought to prevail over the ſilence of Lactantius, Nazarius, and the anonymous, but contemporary orator, who compoſed the ninth panegyric."
footnote 399,"Zoſimus, l. ii. p. 86—88, and the two Panegyrics, the former of which was pronounced a few months afterwards, afford the cleareſt notion of this great battle. Lactantius, Euſebius, and even the Epitomes, ſupply ſeveral uſeful hints."
